city_id,city,country,date,latitude,longitude,max_temp,humidity,clouds,wind
210,Avarua,CK,2022-06-04 18:41:04,-21.2078,-159.775,77.05,88,40,13.8
211,Kushiro,JP,2022-06-04 18:41:04,42.975,144.3747,45.48,84,100,8.66
212,Hovd,MN,2022-06-04 18:41:05,48.0056,91.6419,58.96,26,100,11.59
213,Kasongo-Lunda,CD,2022-06-04 18:41:06,-6.4667,16.8167,73.53,48,5,2.15
214,Makarov,RU,2022-06-04 18:41:06,48.6333,142.8,39.29,94,100,8.75
215,Sar-E Pul,AF,2022-06-04 18:41:07,35.8333,66.1667,59.76,33,0,2.39
216,Laguna,US,2022-06-04 18:38:50,38.421,-121.4238,73.69,46,100,8.05
217,Dragoman,BG,2022-06-04 18:41:08,42.9189,22.9317,73.02,76,74,3.65
218,Rizhao,CN,2022-06-04 18:41:08,35.4275,119.4553,66.61,97,100,5.08
219,Weihai,CN,2022-06-04 18:39:07,37.5017,122.1136,64.71,90,100,11.45
220,Verkhnetulomskiy,RU,2022-06-04 18:41:09,68.6073,31.7962,53.73,95,100,3.47
221,Beringovskiy,RU,2022-06-04 18:41:09,63.05,179.3167,37.98,83,34,4.41
222,Srednekolymsk,RU,2022-06-04 18:41:10,67.45,153.6833,42.8,47,98,11.63
223,Duekoue,CI,2022-06-04 18:41:10,6.7472,-7.3496,76.8,85,100,3.58
224,Pisco,PE,2022-06-04 18:41:11,-13.7,-76.2167,68.05,73,0,8.05
225,Minab,IR,2022-06-04 18:41:11,27.1467,57.0801,90.91,40,0,5.7
226,Sao Gabriel Da Cachoeira,BR,2022-06-04 18:41:12,-0.1303,-67.0892,80.4,83,40,6.91
227,Merta,IN,2022-06-04 18:41:12,26.65,74.0333,90.97,18,0,15.37
228,Shimoda,JP,2022-06-04 18:41:13,34.6667,138.95,63.1,79,100,5.53
229,Parakou,BJ,2022-06-04 18:41:13,9.3372,2.6303,79.07,69,97,10.09
230,Ogori,JP,2022-06-04 18:41:14,34.1,131.4,69.76,87,100,10.78
231,Waingapu,ID,2022-06-04 18:41:14,-9.6567,120.2641,77.67,86,91,3.2
232,Obregon,NI,2022-06-04 18:41:15,11.9566,-85.9636,78.89,57,85,7.11
233,Mahebourg,MU,2022-06-04 18:41:15,-20.4081,57.7,74.25,73,40,14.97
234,Te Anau,NZ,2022-06-04 18:42:16,-45.4167,167.7167,41.79,84,100,1.41
235,Balkhash,KZ,2022-06-04 18:42:17,46.844,74.9804,68.65,49,100,13.87
236,Goderich,CA,2022-06-04 18:42:17,43.7501,-81.7165,61.12,41,0,5.75
237,Zastron,ZA,2022-06-04 18:42:18,-30.3023,27.084,45.37,46,2,2.42
238,San Quintin,MX,2022-06-04 18:42:18,30.4833,-115.95,68.49,68,21,20.0
239,Kirakira,SB,2022-06-04 18:42:19,-10.4544,161.9205,81.0,82,89,11.3
240,Panama City,PA,2022-06-04 18:42:20,8.9936,-79.5197,87.39,76,40,9.22
